OrderID	OrderDate	ArtNo	Amount	Price	PartName	BrandName
40361	07/03/2019	4006633374668	2	59.95	Brake Pads Ceramic	ATE
40361	07/03/2019	4006633146647	2	42.95	Brake discs Powerdisc	ATE
40361	07/03/2019	4016987119501	1	69.75	Battery VW IV 12V 60Ah	Varta
40362	07/05/2019	4082300264630	4	4.99	Battery terminal	HELLA
40362	07/05/2019	4026736081348	1	39.95	Overvoltage Protector	HERTH+BUSS ELPARTS
40363	07/08/2019	4013872786831	1	230.00	Clutch kit 3000 990	SACHS
40363	07/08/2019	4006633294256	1	42.95	Clutch cable 1m	ATE
40364	07/10/2019	0191215072422	1	3,299.00	Engine block Honda B-series	DART
40365	07/11/2019	4010858791506	1	86.95	Timing belt set	CONTINENTAL
40365	07/15/2019	4029416288686	10	8.99	Oil filter 105mm/66mm	HERTH+BUSS JAKOPARTS
